[2025-09-05 11:21:35] <INFO> ------------------------------------------------------------------------
[2025-09-05 11:21:35] <INFO> octopus v0.5.2-beta
[2025-09-05 11:21:35] <INFO> Copyright (c) 2015-2018 University of Oxford
[2025-09-05 11:21:35] <INFO> ------------------------------------------------------------------------
[2025-09-05 11:21:45] <INFO> Done initialising calling components in 10s
[2025-09-05 11:21:45] <INFO> Detected 1 sample: "SW620bc_DSIVb_L_DATAC_L10-SW620bc_DSIVb"
[2025-09-05 11:21:45] <INFO> Invoked calling model: individual
[2025-09-05 11:21:45] <INFO> Processing 3,101,804,739bp with a single thread
[2025-09-05 11:21:45] <INFO> Writing filtered calls to "/data/scratch/DMP/UCEC/GENEVOD/qguo/Projects/lp_mut/results/sample2/Variants_Octopus_v0.5.2/sample2.octopus.vcf.tmp"
[2025-09-05 11:21:45] <INFO> ------------------------------------------------------------------------
[2025-09-05 11:21:45] <INFO>      current      |                   |     time      |     estimated   
[2025-09-05 11:21:45] <INFO>      position     |     completed     |     taken     |     ttc         
[2025-09-05 11:21:45] <INFO> ------------------------------------------------------------------------
[2025-09-05 11:21:52] <INFO>      1:13178939             0.4%               6s           28m 49s
[2025-09-05 11:21:52] <INFO>      1:16858646             0.5%               7s           23m 20s
[2025-09-05 11:21:52] <INFO>      1:20305065             0.7%               7s           19m 27s
[2025-09-05 11:21:52] <INFO>      1:23885429             0.8%               7s           16m 39s
[2025-09-05 11:21:52] <INFO>      1:29805804             1.0%               7s           14m 33s
[2025-09-05 11:21:52] <INFO>      1:45104050             1.5%               7s            9m 39s
[2025-09-05 11:21:52] <INFO>      1:51250799             1.7%               7s            8m 53s
[2025-09-05 11:21:52] <INFO>      1:63170767             2.0%               7s            7m 11s
[2025-09-05 11:21:52] <INFO>      1:73622248             2.4%               7s             6m 2s
[2025-09-05 11:21:52] <INFO>      1:76829414             2.5%               7s            5m 44s
[2025-09-05 11:21:52] <INFO>      1:80103596             2.6%               7s            5m 27s
[2025-09-05 11:21:52] <INFO>      1:99980447             3.2%               7s            4m 12s
[2025-09-05 11:21:52] <INFO>     1:111163761             3.6%               7s            3m 46s
[2025-09-05 11:21:52] <INFO>     1:121484533             3.9%               7s            3m 26s
[2025-09-05 11:21:52] <INFO>     1:142550453             4.6%               7s            2m 59s
[2025-09-05 11:21:52] <INFO>     1:152592623             4.9%               7s            2m 45s
[2025-09-05 11:21:52] <INFO>     1:167476152             5.4%               7s            2m 30s
[2025-09-05 11:21:52] <INFO>     1:172831914             5.6%               7s            2m 27s
[2025-09-05 11:21:52] <INFO>     1:175980993             5.7%               7s            2m 24s
[2025-09-05 11:21:52] <INFO>     1:191318043             6.2%               7s            2m 12s
[2025-09-05 11:21:52] <INFO>     1:195001147             6.3%               7s             2m 9s
[2025-09-05 11:21:52] <INFO>     1:219462429             7.1%               7s            1m 53s
[2025-09-05 11:21:52] <INFO>     1:222750744             7.2%               7s            1m 51s
